event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE44348,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Qalqilya,,"Kafr Qaddum",32.2216,35.1447,1,"PLO Negotiations Affairs Department; Quds News Network",Other-National,"On 15 December 2023, Palestinian rioters clashed with Israeli forces that raided Kafr Qaddum (Qalqilya, West Bank) to patrol the area. Israeli forces rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757989
PSE44349,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Hebron,,Hebron,31.5294,35.0938,2,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Palestinian rioters clashed with Israeli forces near the northern entrance of Hebron (Hebron, West Bank). Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757989
PSE44350,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Hebron,,Hebron,31.5294,35.0938,1,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Palestinian rioters clashed with Israeli forces that raided Hebron city (Hebron, West Bank). Israeli forces rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757989
PSE44351,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank","Ramallah and Al Bireh",,"An Nabi Salih",32.0164,35.124,1,"Liveuamap; Shehab News Agency","Local partner-New media","On 15 December 2023, Palestinian rioters clashed with Israeli forces in An Nabi Salih (Hebron, West Bank). There were no casualties.",0,"crowd size=no report",1704757989
PSE44356,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Hebron,,"Al Shuyukh",31.575,35.1494,1,"Quds News Network",National,"On 15 December 2023, Palestinian rioters clashed with Israeli forces that raided Al Shuyukh (Hebron, West Bank). There were no casualties.",0,"crowd size=no report",1704757990
PSE44358,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Police Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank","Al Quds",,"Al Quds - Isawiya",31.8031,35.287,1,"Quds News Network",National,"On 15 December 2023, Palestinian rioters clashed with Israeli police forces in Hayy Ubaid in Al Quds - Isawiya (Al Quds, West Bank). There were no casualties.",0,"crowd size=no report",1704757990
PSE44429,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Palestine)",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Nablus,,Huwwarah,32.1522,35.2567,1,"Arutz Sheva; Haaretz; Ma'an News Agency",National-Regional,"On 15 December 2023, Israeli forces opened fire at an unidentified Palestinian assailant holding a knife at the Huwwarah checkpoint (Nablus, West Bank) due to an attempted stabbing attack. The assailant was killed.",1,,1704757990
PSE44432,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Palestine)","Rioters (Palestine)",3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Tubas,,Tubas,32.3209,35.3699,1,"Liveuamap; Palestine Information Center; PLO Negotiations Affairs Department; Quds News Network","Local partner-New media","On 15 December 2023, an unidentified Palestinian group opened fire at Israeli forces that raided Tubas city (Tubas, West Bank). In conjunction with the shooting, Palestinian rioters clashed with Israeli forces. Israeli forces fired rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,,1704757990
PSE44436,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Palestine)",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Nablus,,Nablus,32.2211,35.2544,1,"Quds News Network",National,"On 15 December 2023, an unidentified Palestinian group opened fire at Israeli military vehicles that raided Nablus (Nablus, West Bank). There were no casualties.",0,,1704757990
PSE44560,"15 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Police Forces of Palestine (1994-) West Bank",,1,"Civilians (Palestine)","Hamas Movement; Students (Palestine)",7,17,"Civilian targeting",275,"Middle East",Palestine,"West Bank",Nablus,,Nablus,32.2211,35.2544,1,"Quds News Network",National,"On 15 December 2023, Palestinian police forces opened fire at the vehicle of the the Islamic bloc in Al Najah university in Nablus (Nablus, West Bank) after taking part in a march in support of Hamas. There were no casualties.",0,,1704757990
